#Iterazione,Iterazioni spese in Line Search,Eta,Errore,Gradiente
1,1,1,210.60647622182026,1.0
2,100,0.7858291858489843,67.29452967739226,6.609937596143582
3,3,0.05100738992598396,902.7862051578568,14.759430413961201
4,2,0.04616519070356883,1089.0680344011328,9.651259339084
5,2,0.03824290376602498,1710.5366968883247,9.878835956112535
6,2,0.10019760156011133,1720.962518122432,3.6112899617487964
7,2,0.043323055987702426,2263.999472598197,8.03677077278962
8,3,0.08240772621495936,2306.571842456684,7.827664934538847
9,2,0.042168741046421446,2468.756473810821,7.445798801724016
10,2,0.043072325025496114,2621.0169739065072,8.06376209879452
11,3,0.14034293714853519,2266.5394819848943,5.055082609101146
12,2,0.0369295893093965,1904.3824535176084,3.917313890234395
13,2,0.056233562481451886,2006.1987323131107,3.0672368118041633
14,2,0.044397772246840626,2231.8217351015023,3.506617642334185
15,2,0.08279874779445888,2458.7245885474945,2.352021293588765
16,2,0.05052795587138904,2692.448408329646,2.996602391599409
17,2,0.09651499561326463,2824.991496181868,2.89321321025062
18,2,0.039091990804580985,2931.6047916126467,3.935046622403247
19,2,0.03900681493820713,3009.192265533509,4.1831400708144955
20,2,0.10739750702961857,2962.980682271958,1.440682428469191
21,2,0.03950713596783691,3009.532006859705,2.64687887654569
22,2,0.07193783595261521,3008.335510355156,1.493794946223539
23,2,0.03610625131736101,3075.0331352632616,2.5924215089807174
24,2,0.04139783301576017,3142.9320823417165,3.103051540639469
25,3,0.08806624782356012,3143.2806736727084,1.4207860459805604
26,2,0.04409059208662659,3206.4275151764105,2.254430398102377
27,2,0.1582416398358186,3209.604963542706,1.080972030936946
28,2,0.03615150829771783,3275.092517715216,3.3484781542477258
29,2,0.033120753942700525,3282.7988576961243,2.8331878648406468
30,2,0.14451193266075496,3261.207986104935,1.0397992234344542
31,2,0.04039660607947763,3273.7278669288153,1.4708054772543389
32,2,0.195804417757039,3286.590044081723,1.0756795161956072
33,2,0.03381516782137294,3315.611962521442,2.927350426541098
34,2,0.03884344363155469,3312.346262700124,3.002685155823076
35,2,0.08485447384582775,3275.20233273554,1.2218230830626313
36,2,0.04432171397067997,3273.2527136161866,2.2130878375061322
37,3,0.1729114627534992,3236.079052341799,1.1522221435512496
38,2,0.03540650388639863,3252.0275180882686,2.768196861558616
39,2,0.03460103890517173,3229.1049865430396,2.388924577297537
40,3,0.1048149508428781,3183.9634621399136,1.2590081888924602
41,2,0.03625272675304134,3155.9749378468805,1.3588850248683837
42,2,0.07821994608056591,3127.462128470476,0.8090007872445014
43,2,0.04159646202887626,3120.7655874544275,1.6588731755722743
44,2,0.03930811241228088,3092.530631658974,1.4381379919339174
45,2,0.12251678754022631,3060.8198590118127,0.975095026349112
46,3,0.19270081326728808,3026.322983151282,0.9294225200056455
47,2,0.03535946316144073,3004.5407511821118,1.4951452106690655
48,2,0.03797543335579979,2977.007610477711,1.4706487571437143
49,2,0.18467220613572735,2947.48189541102,1.0433888718031008
50,2,0.09032606864427312,2904.5446850838475,0.520098790079654
51,3,0.17353640900713183,2867.7458083634206,0.6848833485544095
52,2,0.046327075239469,2840.1034380779956,1.06942690145997
53,2,0.057824374052705546,2805.2423431044895,0.7447153736072163
54,2,0.05028185548720203,2773.380108639027,0.9813899889881996
55,2,0.05014929595075791,2740.2640332258384,0.8973878023614267
56,2,0.07934812916843367,2707.6892898097776,0.7858432033918649
57,2,0.08770010288608392,2673.6046306066146,0.534118869186014
58,2,0.04198283373240377,2643.852567486197,0.8255620631572327
59,2,0.05208931169999954,2611.769283708176,0.8882118312950936
60,2,0.04944821949088132,2577.2990424048044,0.5815233922361496
61,2,0.038228032521478786,2551.457362359716,0.8515157885088009
62,2,0.25865330722775587,2522.702087833287,0.3649626154229405
63,2,0.03316690991952337,2500.2835872275996,1.484203665300124
64,2,0.03409191710391006,2467.2900161424072,1.3880667490355092
65,2,0.13547555322262925,2429.1462337496773,0.46640632886134065
66,2,0.0396918285234031,2400.304090557183,0.7833931853443663
67,2,0.1199849514920627,2369.719723110369,0.489936859517682
68,2,0.034119696139438264,2346.1237400644272,1.141245903439224
69,2,0.03424446062685738,2318.66780235909,1.155825034359579
70,2,0.5036460379153215,2285.588368079223,0.37020059204308964
71,2,0.10392008966121631,2245.2844223298953,0.3927264697212483
72,2,0.08983056066268237,2205.7188647679313,0.4197972826219674
73,2,0.5201267020716044,2167.812751112649,0.4179319122635506
74,2,0.06943620947803898,2117.360463095211,0.7630102911845209
75,3,0.263441295029643,2068.121615087326,0.526968226871547
76,2,0.0674119256153244,2015.9604529356718,0.4032433862722044
77,100,0.9901483535267248,1984.444275650877,0.8938321388170842
78,2,0.033832996794540285,1960.5644443386827,2.1413863463623803
79,2,0.03351163001893488,1876.178906833599,1.5938407146514226
80,2,0.052383302432563145,1831.3698245865126,0.8349716979600104
81,2,0.0446483148149556,1817.8660728692735,1.7850825714568785
82,2,0.22095820633156654,1790.64668657841,0.8331577735996856
83,2,0.03315370314883856,1772.2562495678114,2.8278435492578824
84,2,0.03380775308385393,1717.3437793482701,2.7053272127873638
85,2,0.13790040001585682,1640.641649581594,0.514515051997592
86,2,0.03371426853191246,1627.7452277745576,1.877217673064072
87,2,0.03491350347404023,1587.6468874083862,1.372092945766751
88,2,0.06424223287415107,1558.4804756343885,0.7786427040595771
89,2,0.041132745413591035,1536.1178390687096,1.3512487015864938
90,2,0.23620219012903484,1503.8445767472435,0.7752335597124496
91,2,0.033735215304544125,1488.402414763356,2.388735165219909
92,2,0.03321958922281182,1448.1601283791913,2.2861911712861476
93,2,0.20680259615869337,1390.093449771742,0.34150125869517634
94,2,0.03427141089937864,1374.5705333949684,1.5119426392981672
95,2,0.03563270474579679,1355.7798852797537,1.2044459418810771
96,2,0.0695756762208568,1334.9580805854894,0.6051297844801832
97,2,0.03990229980534936,1322.043598555473,1.0575959075193277
98,2,0.12062581828090081,1300.5794797528667,0.5404146802749438
99,2,0.03545632743947325,1285.0746608849436,1.3849809038041307
100,2,0.03531519803416574,1262.1986203926547,1.3774202158059037
101,2,0.5340490653304121,1233.6311084966565,0.5725426593099655
102,2,0.036756477842647906,1197.7754055585408,0.7441677028295252
103,2,0.0410224692519885,1174.2258946842396,0.6436596464261597
104,2,0.09919312250221406,1157.2443930652491,0.46167018315942016
105,2,0.11117293451787807,1144.5494698547166,0.5351071155932993
106,2,0.050674167584805044,1127.6048431385557,0.7607425512719282
107,2,0.06263919121148766,1106.3314408891256,0.6284702274877988
108,2,0.047350817798671806,1085.0296109228443,0.6817979743838183
109,2,0.04179779693814197,1066.0272035992873,0.7304189400077182
110,2,0.23114981795851824,1045.5647950905138,0.34514970327690153
111,2,0.05106029347751847,1025.756413859535,0.43787526755279016
112,2,0.09760638505358976,1008.0718350437205,0.30157067580394475
113,2,0.04082527883565557,993.804110403944,0.5195321649974514
114,2,0.04455211937425004,981.4272679870285,0.5137626884025001
115,2,0.11194632386367546,968.4612396933768,0.3383810929816438
116,2,0.11719200041648381,954.6584331780543,0.33248854019053076
117,2,0.046125145939715353,940.7878692480309,0.49773729254991905
118,2,0.04920900140184972,926.7885650930706,0.4320607001722384
119,2,0.06767384548577858,913.8008956766389,0.3473306198372144
120,2,0.0654965003064275,902.0405880637401,0.38417836797816346
121,2,0.06769133862976467,890.2531426258672,0.3689105445886665
122,2,0.07987802848286937,878.3136663765844,0.31899899182260394
123,2,0.04700727415781517,867.0597996784843,0.4074198707216669
124,2,0.046486566348415456,856.3353276014964,0.4052300007833951
125,2,0.1099619284847522,845.5554233730107,0.2622032233747203
